4,1376,127.07,151.92,77.06,186.84,1,-1,-1,-1
4,1375,22.46,154.71,75.04,190.18,1,-1,-1,-1
5,1376,139.41,159.39,71.75,189.83,1,-1,-1,-1
5,1375,29.21,158.29,74.59,196.24,1,-1,-1,-1
6,1376,152.83,154.90,66.90,189.78,1,-1,-1,-1
6,1375,34.31,155.75,71.32,195.40,1,-1,-1,-1
7,1376,154.21,153.54,68.67,187.56,1,-1,-1,-1
7,1375,39.29,152.55,71.88,199.38,1,-1,-1,-1
8,1378,237.20,203.42,22.42,60.03,1,-1,-1,-1
8,1376,162.00,156.72,66.97,188.86,1,-1,-1,-1
8,1375,41.55,149.04,74.89,204.49,1,-1,-1,-1
9,1380,291.68,200.19,25.31,61.22,1,-1,-1,-1
9,1377,385.05,196.91,34.50,54.90,1,-1,-1,-1
9,1376,163.00,152.30,70.88,196.06,1,-1,-1,-1
9,1375,43.25,144.92,75.04,202.47,1,-1,-1,-1
10,1380,298.52,202.62,25.44,60.93,1,-1,-1,-1
10,1376,170.92,151.10,72.53,199.35,1,-1,-1,-1
10,1375,53.46,153.14,73.29,203.70,1,-1,-1,-1
11,1380,303.93,202.04,24.98,60.99,1,-1,-1,-1
11,1376,172.87,145.68,81.04,207.03,1,-1,-1,-1
11,1375,61.54,148.77,73.93,204.28,1,-1,-1,-1
12,1382,269.63,201.47,23.22,67.29,1,-1,-1,-1
12,1380,306.94,203.60,23.99,59.52,1,-1,-1,-1
12,1376,178.71,143.57,87.23,216.50,1,-1,-1,-1
12,1375,63.58,147.09,76.80,209.21,1,-1,-1,-1
